user_safehouse_id,user_email,safehouse_id
39,staff@beaconofhope.org,2
38,staff@beaconofhope.org,1
2,sw01@beaconofhope.org,2
1,sw01@beaconofhope.org,1
3,sw02@beaconofhope.org,1
4,sw03@beaconofhope.org,2
5,sw04@beaconofhope.org,3
7,sw05@beaconofhope.org,4
6,sw05@beaconofhope.org,3
8,sw06@beaconofhope.org,4
10,sw07@beaconofhope.org,6
9,sw07@beaconofhope.org,5
11,sw08@beaconofhope.org,1
12,sw09@beaconofhope.org,5
13,sw10@beaconofhope.org,6
14,sw11@beaconofhope.org,7
16,sw13@beaconofhope.org,8
15,sw13@beaconofhope.org,7
17,sw14@beaconofhope.org,8
18,sw15@beaconofhope.org,9
20,sw16@beaconofhope.org,7
19,sw16@beaconofhope.org,2
22,sw17@beaconofhope.org,8
21,sw17@beaconofhope.org,7
23,sw19@beaconofhope.org,9
25,sw20@beaconofhope.org,3
24,sw20@beaconofhope.org,1
34,admin@beaconofhope.org,9
33,admin@beaconofhope.org,8
32,admin@beaconofhope.org,7
31,admin@beaconofhope.org,6
30,admin@beaconofhope.org,5
29,admin@beaconofhope.org,4
28,admin@beaconofhope.org,3
27,admin@beaconofhope.org,2
26,admin@beaconofhope.org,1
